ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
560160.SH,光大保德信中证全指医疗器械ETF,光大保德信中证全指医疗器械ETF,光大保德信中证全指医疗器械交易型开放式指数证券投资基金,H30217.CSI,中证全指医疗器械指数,,,P,SH,光大保德信基金,中国工商银行股份有限公司,,纯境内
560170.SH,南方中证国新央企科技引领ETF,央企科技ETF,南方中证国新央企科技引领交易型开放式指数证券投资基金,932038.CSI,中证国新央企科技引领指数,20230621,20230706,L,SH,南方基金,中国工商银行股份有限公司,0.5,纯境内
560180.SH,南方沪深300ESG基准ETF,沪深300ESGETF南方,南方沪深300ESG基准交易型开放式指数证券投资基金,931463.CSI,沪深300ESG基准指数,20230413,20230421,L,SH,南方基金,中国邮政储蓄银行股份有限公司,0.5,纯境内
560190.SH,鹏华中证全指公用事业ETF,公用事业ETF,鹏华中证全指公用事业交易型开放式指数证券投资基金,000995.CSI,中证全指公用事业指数,20241225,20250106,L,SH,鹏华基金,国泰海通证券股份有限公司,0.5,纯境内
560220.SH,广发中证2000ETF,中证2000ETF广发,广发中证2000交易型开放式指数证券投资基金,932000.CSI,中证2000指数,20230908,20230918,L,SH,广发基金,招商银行股份有限公司,0.5,纯境内
560260.SH,广发中证医疗ETF,医疗ETF龙头,广发中证医疗交易型开放式指数证券投资基金,399989.SZ,中证医疗指数,20230906,20230915,L,SH,广发基金,北京银行股份有限公司,0.5,纯境内
560280.SH,广发中证工程机械ETF,工程机械ETF,广发中证工程机械主题交易型开放式指数证券投资基金,931752.CSI,中证工程机械主题指数,20231018,20231030,L,SH,广发基金,招商银行股份有限公司,0.5,纯境内
560300.SH,汇添富中证电信主题ETF,电信50ETF,汇添富中证电信主题交易型开放式指数证券投资基金,931235.CSI,中证电信主题指数,20231205,20231218,L,SH,汇添富基金,交通银行股份有限公司,0.5,纯境内
560330.SH,申万菱信沪深300价值ETF,沪深300价值ETF申万菱信,申万菱信沪深300价值交易型开放式指数证券投资基金,000919.CSI,沪深300价值指数,20230511,20230523,L,SH,申万菱信基金,中国工商银行股份有限公司,0.5,纯境内
560350.SH,摩根中证A50ETF,中证A50ETF指数基金,摩根中证A50交易型开放式指数证券投资基金,930050.CSI,中证A50指数,20240305,20240312,L,SH,摩根基金,招商证券股份有限公司,0.15,纯境内
